1,Addition 1,Times Square,Grade 1 Winter,20,18
2,Subtraction 1,Broadway,Grade 1 Winter,20,18
3,Addition 2,Central Park,Grade 1 Spring,20,18
4,Addition 3,Statue of Liberty,Grade 2 Fall,20,18
5,Subtraction 2,Golden Gate Bridge,Grade 2 Fall,20,18
6,Subtraction 3,Mount Rushmore,Grade 2 Fall,20,18
7,Addition 4,Liberty Bell,Grade 2 Winter,20,18
8,Addition 5,Grand Canyon,Grade 2 Winter,20,18
9,Subtraction 4,Hoover Dam,Grade 2 Winter,20,18
10,Subtraction 5,Empire State Building,Grade 2 Winter,20,18
11,Addition 6,Saint Louis Arch,Grade 2 Spring,20,18
12,Subtraction 6,White House,Grade 2 Spring,20,18
13,Subtraction 7,Jefferson Monument,Grade 2 Spring,20,18
14,Time,Lincoln Memorial,Advanced,9,8
15,Money,Monticello,Advanced,9,8
16,Fractions,Union Station,Advanced,16,14
17,Multiplication,Grand Central Terminal,Advanced,20,18